generation,best_fitness
1,101.70733333333334
2,88.714
3,86.47733333333332
4,84.23533333333334
5,77.48933333333332
6,77.48933333333332
7,77.48933333333332
8,77.48933333333332
9,77.27133333333333
10,76.29533333333333
11,76.29533333333333
12,76.29533333333333
13,76.29533333333333
14,76.29533333333333
15,76.29533333333333
16,76.29533333333333
17,76.29533333333333
18,73.75
19,73.75
20,73.75
21,73.75
22,73.75
23,73.75
24,73.75
25,73.75
26,73.75
27,73.75
28,73.75
29,73.75
30,73.75
31,73.75
32,73.75
33,73.75
34,73.75
35,73.75
36,73.75
37,73.75
38,73.75
39,73.75
40,73.75
41,73.75
42,73.75
43,73.75
44,73.75
45,73.75
46,73.75
47,73.75
48,73.75
49,73.75
50,73.75
51,73.75
52,73.75
53,73.75
54,73.75
55,73.75
56,73.75
57,73.75
58,73.75
59,73.75
60,73.75
61,73.75
62,73.75
63,73.75
64,73.75
65,73.75
66,73.75
67,73.75
68,73.75
69,73.75
70,73.75
71,73.75
72,73.75
73,73.75
74,73.75
75,73.75
76,73.75
77,73.75
78,73.75
79,73.75
80,73.75
81,73.75
82,73.75
83,73.75
84,73.75
85,73.75
86,73.75
87,73.75
88,73.75
89,73.75
90,73.75
91,73.75
92,73.75
93,73.75
94,73.75
95,73.75
96,73.75
97,73.75
98,65.48933333333333
99,65.48933333333333
100,65.48933333333333
101,65.48933333333333
102,65.48933333333333
103,65.48933333333333
104,65.48933333333333
105,65.48933333333333
106,65.48933333333333
107,65.48933333333333
108,65.48933333333333
109,65.48933333333333
110,65.48933333333333
111,65.48933333333333
112,65.48933333333333
113,65.48933333333333
114,65.48933333333333
115,65.48933333333333
116,65.48933333333333
117,65.48933333333333
118,65.48933333333333
119,65.48933333333333
120,65.48933333333333
121,65.48933333333333
122,65.48933333333333
123,65.48933333333333
124,65.48933333333333
125,65.48933333333333
126,65.48933333333333
127,65.48933333333333
128,65.48933333333333
129,65.48933333333333
130,65.48933333333333
131,65.48933333333333
132,65.48933333333333
133,65.48933333333333
134,65.48933333333333
135,65.48933333333333
136,65.48933333333333
137,65.48933333333333
138,65.48933333333333
139,65.48933333333333
140,65.48933333333333
141,65.48933333333333
142,65.48933333333333
143,65.48933333333333
144,65.48933333333333
145,65.48933333333333
146,65.48933333333333
147,65.48933333333333
148,65.48933333333333
149,65.48933333333333
150,65.48933333333333
151,65.48933333333333
152,65.48933333333333
153,65.48933333333333
154,65.48933333333333
155,65.48933333333333
156,65.48933333333333
157,65.48933333333333
158,65.48933333333333
159,65.48933333333333
160,65.48933333333333
161,65.48933333333333
162,65.48933333333333
163,65.48933333333333
164,65.48933333333333
165,65.48933333333333
166,65.48933333333333
167,65.48933333333333
168,65.48933333333333
169,65.48933333333333
170,65.48933333333333
171,65.48933333333333
172,65.48933333333333
173,65.48933333333333
174,65.48933333333333
175,65.48933333333333
176,65.48933333333333
177,65.48933333333333
178,65.48933333333333
179,65.48933333333333
180,65.48933333333333
181,65.48933333333333
182,65.48933333333333
183,65.48933333333333
184,65.48933333333333
185,65.48933333333333
186,65.48933333333333
187,65.48933333333333
188,65.48933333333333
189,65.48933333333333
190,65.48933333333333
191,65.48933333333333
192,65.48933333333333
193,65.48933333333333
194,65.48933333333333
195,65.48933333333333
196,65.48933333333333
197,65.48933333333333
198,65.48933333333333
199,65.48933333333333
200,65.48933333333333
201,65.48933333333333
202,65.48933333333333
203,65.48933333333333
204,65.48933333333333
205,65.48933333333333
206,65.48933333333333
207,65.48933333333333
208,65.48933333333333
209,65.48933333333333
210,65.48933333333333
211,65.48933333333333
212,65.48933333333333
213,65.48933333333333
214,65.48933333333333
215,65.48933333333333
216,65.48933333333333
217,65.48933333333333
218,65.48933333333333
219,65.48933333333333
220,65.48933333333333
221,65.48933333333333
222,65.48933333333333
223,65.48933333333333
224,65.48933333333333
225,65.48933333333333
226,65.48933333333333
227,65.48933333333333
228,65.48933333333333
229,65.48933333333333
230,65.48933333333333
231,65.48933333333333
232,65.48933333333333
233,65.48933333333333
234,65.48933333333333
235,65.48933333333333
236,65.48933333333333
237,65.48933333333333
238,65.48933333333333
239,65.48933333333333
240,65.48933333333333
241,65.48933333333333
242,65.48933333333333
243,65.48933333333333
244,65.48933333333333
245,65.48933333333333
246,65.48933333333333
247,65.48933333333333
248,65.48933333333333
249,65.48933333333333
250,65.48933333333333
251,65.48933333333333
252,65.48933333333333
253,65.48933333333333
254,65.48933333333333
255,65.48933333333333
256,65.48933333333333
257,65.48933333333333
258,65.48933333333333
259,65.48933333333333
260,65.48933333333333
261,65.48933333333333
262,65.48933333333333
263,65.48933333333333
264,65.48933333333333
265,65.48933333333333
266,65.48933333333333
267,65.48933333333333
268,65.48933333333333
269,65.48933333333333
270,65.48933333333333
271,65.48933333333333
272,65.48933333333333
273,65.48933333333333
274,65.48933333333333
275,65.48933333333333
276,65.48933333333333
277,65.48933333333333
278,65.48933333333333
279,65.48933333333333
280,65.48933333333333
281,65.48933333333333
282,65.48933333333333
283,65.48933333333333
284,65.48933333333333
285,65.48933333333333
286,65.48933333333333
287,65.48933333333333
288,65.48933333333333
289,65.48933333333333
290,65.48933333333333
291,65.48933333333333
292,65.48933333333333
293,65.48933333333333
294,65.48933333333333
295,65.48933333333333
296,65.48933333333333
297,65.48933333333333
298,65.48933333333333
299,65.48933333333333
300,65.48933333333333
